,State,Males 19 and Under,Males 20-24,Males 25-29,Males 30-34,Males 35-39,Males 40-44,Males 45-49,Males 50-54,Males 55-59,Males 60-64,Males 65-69,Males 70-74,Males 75-79,Males 80-84,Males 85 and Over,Total Licensed Male Drivers (Table DL-22),Males under 16,Males 16,Males 17,Males 18,Males 19,Males 20,Males 21,Males 22,Males 23,Males 24,Females 19 and Under,Females 20-24,Females 25-29,Females 30-34,Females 35-39,Females 40-44,Females 45-49,Females 50-54,Females 55-59,Females 60-64,Females 65-69,Females 70-74,Females 75-79,Females 80-84,Females 85 and Over,Total Licensed Female Drivers (Table DL-22),Females under 16,Females 16,Females 17,Females 18,Females 19,Females 20,Females 21,Females 22,Females 23,Females 24,Total 19 and Under,Total 20-24,Total 25-29,Total 30-34,Total 35-39,Total 40-44,Total 45-49,Total 50-54,Total 55-59,Total 60-64,Total 65-69,Total 70-74,Total 75-79,Total 80-84,Total 85 and Over,Total Licensed Drivers (Table DL-22),Total under 16,Total 16,Total 17,Total 18,Total 19,Total 20,Total 21,Total 22,Total 23,Total 24,Licensed Male Drivers (Table DL-1C),Percent Male Drivers of Total,Licensed Female Drivers (Table DL-1C),Percent Female Drivers of Total,Total Licensed Drivers (Table DL-1C),Ratio of Licensed Drivers to Private and Commercial Motor Vehicles Registered,Total Resident Population,Male Driving Age Population (16 and Over),Female Driving Age Population (16 and Over),Total Driving Age Population (16 and Over),Drivers Per 1000 Total Resident Population,Drivers per 1000 Driving Age Population
25,Missouri,102172,180205.0,191875,187273,168885,170948,174082,200771,192020,164012,134585,98375,65819,42428,29979,2103429.0,0,16694,24948,28641,31889,34024,35730,35913,36694,37844.0,97691,176449.0,191533,190897,172157,174587,179430,209871,203925,176987,147091,109780,74561,50141,36695,2191795.0,0,16401,23670,27657,29963,32268,34612,35256,36656,37657.0,199863,356654.0,383408,378170,341042,345535,353512,410642,395945,340999,281676,208155,140380,92569,66674,4295224.0,0,33095,48618,56298,61852,66292,70342,71169,73350,75501.0,2103429.0,48.97,2191795.0,51.03,4295224.0,0.8137361192516712,6063589,2342500,2486668,4829168,708.3633142021995,889.4335421753809
26,Montana,18712,29637.0,34011,33180,30375,28836,28908,35150,37491,36457,30358,21201,13279,8168,4773,390536.0,1103,3193,4184,4961,5271,5569,5426,5878,6253,6511.0,17861,28220.0,32273,31170,28186,27120,28189,35512,38651,35853,28117,20088,13180,8560,5187,378167.0,1102,3133,4065,4546,5015,5248,5118,5658,5978,6218.0,36573,57857.0,66284,64350,58561,55956,57097,70662,76142,72310,58475,41289,26459,16728,9960,768703.0,2205,6326,8249,9507,10286,10817,10544,11536,12231,12729.0,390536.0,50.8,378167.0,49.2,768703.0,0.48706837559180444,1023579,412202,411666,823868,750.9952822400617,933.0414580976563
27,Nebraska,36984,61003.0,66246,64950,56645,54167,54018,61972,61348,54009,42569,29262,20680,15491,14348,693692.0,0,7085,9572,9439,10888,11771,10718,11879,12829,13806.0,35441,58981.0,63210,62251,54873,52137,52193,61854,60944,55264,43314,30932,23080,18341,17186,690001.0,0,6778,9235,8996,10432,10883,10756,11456,12484,13402.0,72425,119984.0,129456,127201,111518,106304,106211,123826,122292,109273,85883,60194,43760,33832,31534,1383693.0,0,13863,18807,18435,21320,22654,21474,23335,25313,27208.0,693692.0,50.13,690001.0,49.87,1383693.0,0.7264582395964532,1881503,723430,740948,1464378,735.4189708972028,944.9015213285095
28,Nevada,29297,70308.0,77520,83123,81261,86035,85660,86605,80173,71695,64821,46233,29237,16466,9764,918198.0,0,2642,5598,9318,11739,12509,13443,14319,14771,15266.0,27862,67883.0,78362,81644,76347,80042,77837,81340,77739,70989,62745,44091,26813,15261,9290,878245.0,0,2888,5594,8574,10806,11369,12653,13982,14660,15219.0,57159,138191.0,155882,164767,157608,166077,163497,167945,157912,142684,127566,90324,56050,31727,19054,1796443.0,0,5530,11192,17892,22545,23878,26096,28301,29431,30485.0,918198.0,51.11,878245.0,48.89,1796443.0,0.8112514661643421,2839099,1125691,1124292,2249983,632.7510946254428,798.425143656641
29,New Hampshire,24127,44789.0,44940,40950,37570,43892,49937,56480,54199,44899,36294,24735,15762,10772,8137,537483.0,0,3381,5834,7029,7883,8381,7941,8858,9571,10038.0,23478,42841.0,42823,39611,37482,43842,49991,56948,54172,44987,36903,25004,16539,11047,8812,534480.0,0,3519,5768,6781,7410,8042,7812,8558,9046,9383.0,47605,87630.0,87763,80561,75052,87734,99928,113428,108371,89886,73197,49739,32301,21819,16949,1071963.0,0,6900,11602,13810,15293,16423,15753,17416,18617,19421.0,537483.0,50.14,534480.0,49.86,1071963.0,0.82657961578143,1326813,536860,557313,1094173,807.92319641125,979.7015645606316
30,New Jersey,120061,261882.0,251749,241345,239765,258007,281786,307002,286736,235611,191650,132770,90062,63640,57948,3020014.0,0,59,30121,42394,47487,50438,50433,51908,53329,55774.0,116627,257651.0,254340,249683,250758,269176,293834,316843,297158,243674,201968,143342,98447,72528,66591,3132620.0,0,48,29624,41559,45396,48745,49124,51075,52836,55871.0,236688,519533.0,506089,491028,490523,527183,575620,623845,583894,479285,393618,276112,188509,136168,124539,6152634.0,0,107,59745,83953,92883,99183,99557,102983,106165,111645.0,3020014.0,49.08,3132620.0,50.92,6152634.0,0.9077961800355586,8938175,3456345,3707467,7163812,688.354613777421,858.8491713629559
31,New Mexico,14095,58881.0,67758,71934,63594,61873,60508,68412,66289,61060,50164,34614,20792,12740,7464,720178.0,0,135,1296,4728,7936,10393,10942,11934,12532,13080.0,12932,57790.0,65593,67871,61383,61666,62262,71771,71020,64407,51150,35456,21271,12753,7354,724679.0,0,178,1265,4258,7231,9615,10876,11879,12477,12943.0,27027,116671.0,133351,139805,124977,123539,122770,140183,137309,125467,101314,70070,42063,25493,14818,1444857.0,0,313,2561,8986,15167,20008,21818,23813,25009,26023.0,720178.0,49.84,724679.0,50.16,1444857.0,0.7605795505451184,2085572,805542,833067,1638609,692.7869188884392,881.7582473915377
32,New York,161904,435566.0,498976,492727,474586,507645,554301,593123,557785,469964,376400,260688,181045,128131,113496,5806337.0,0,2765,33601,55882,69656,79280,74905,87474,94561,99346.0,145227,385429.0,466872,474009,450929,482227,523076,558965,523790,445370,366692,260298,180466,131326,117185,5511861.0,0,2561,31033,50059,61574,68537,65409,77527,84450,89506.0,307131,820995.0,965848,966736,925515,989872,1077377,1152088,1081575,915334,743092,520986,361511,259457,230681,11318198.0,0,5326,64634,105941,131230,147817,140314,165001,179011,188852.0,5806337.0,51.3,5511861.0,48.7,11318198.0,1.0431718875348026,19746227,7669925,8337367,16007292,573.182816140015,707.0651300669721
33,North Carolina,110352,294666.0,310000,299791,287687,317972,316078,325717,301707,252263,220330,155065,100544,64600,47472,3404244.0,0,4321,18332,39867,47832,52186,54115,58595,63165,66605.0,106582,287061.0,321982,319937,310072,335731,330220,348055,328682,281249,240735,169559,112775,74029,54420,3621089.0,0,4788,18700,37832,45262,49951,52555,56993,62019,65543.0,216934,581727.0,631982,619728,597759,653703,646298,673772,630389,533512,461065,324624,213319,138629,101892,7025333.0,0,9109,37032,77699,93094,102137,106670,115588,125184,132148.0,3404244.0,48.46,3621089.0,51.54,7025333.0,0.907545928690036,9943964,3807288,4102985,7910273,706.492199690184,888.127754882796
34,North Dakota,14518,26350.0,29348,26394,21868,20197,20612,24439,24695,21419,15438,10540,7614,5509,4601,273542.0,1211,2586,3111,3525,4085,4514,5134,5240,5620,5842.0,13837,23335.0,25350,23101,18917,17841,18790,22796,23640,19727,14787,10691,8821,6715,5651,253999.0,1170,2481,2999,3457,3730,3952,4485,4625,5052,5221.0,28355,49685.0,54698,49495,40785,38038,39402,47235,48335,41146,30225,21231,16435,12224,10252,527541.0,2381,5067,6110,6982,7815,8466,9619,9865,10672,11063.0,273542.0,51.85,253999.0,48.15,527541.0,0.6192486251401271,739482,301655,286871,588526,713.3926180758964,896.3767106296069
